Time (s),Stress (MPa)
0,-0.00032
0.04,0.00977
0.08,0.02598
0.12,0.03649
0.16,0.03817
0.2,0.06239
0.24,0.08706
0.28,0.10256
0.32,0.11384
0.36,0.13023
0.4,0.15152
0.44,0.16429
0.48,0.18767
0.52,0.20528
0.56,0.22052
0.6,0.23105
0.64,0.249
0.68,0.2594
0.72,0.2716
0.76,0.2931
0.8,0.30623
0.84,0.31596
0.88,0.33246
0.92,0.34353
0.96,0.35722
1,0.37408
1.04,0.37875
1.08,0.39521
1.12,0.40419
1.16,0.41694
1.2,0.43011
1.24,0.44713
1.28,0.45853
1.32,0.46332
1.36,0.47471
1.4,0.49616
1.44,0.50672
1.48,0.5108
1.52,0.52405
1.56,0.53349
1.6,0.54575
1.64,0.55459
1.68,0.56059
1.72,0.58087
1.76,0.59115
1.8,0.59821
1.84,0.60227
1.88,0.60973
1.92,0.62727
1.96,0.63077
2,0.635
2.04,0.64518
2.08,0.65736
2.12,0.67321
2.16,0.67698
2.2,0.6852
2.24,0.69295
2.28,0.70502
2.32,0.71079
2.36,0.71457
2.4,0.72649
2.44,0.73781
2.48,0.74188
2.52,0.74551
2.56,0.75555
2.6,0.76751
2.64,0.77749
2.68,0.7787
2.72,0.78679
2.76,0.80194
2.8,0.80774
2.84,0.80931
2.88,0.81964
2.92,0.83457
2.96,0.83751
3,0.83511
3.04,0.84406
3.08,0.86148
3.12,0.86889
3.16,0.87166
3.2,0.87556
3.24,0.88599
3.28,0.89345
3.32,0.89415
3.36,0.90106
3.4,0.90523
3.44,0.91678
3.48,0.9139
3.52,0.92818
3.56,0.94181
3.6,0.93581
3.64,0.94587
3.68,0.95107
3.72,0.9563
3.76,0.95903
3.8,0.97519
3.84,0.9744
3.88,0.98125
3.92,0.99332
3.96,0.99297
4,0.99915
4.04,1.00543
4.08,1.01399
4.12,1.02584
4.16,1.01992
4.2,1.01773
4.24,1.02847
4.28,1.03667
4.32,1.04736
4.36,1.04611
4.4,1.05388
4.44,1.05658
4.48,1.06456
4.52,1.07435
4.56,1.06726
4.6,1.07476
4.64,1.08504
4.68,1.08952
4.72,1.09469
4.76,1.09803
4.8,1.11099
4.84,1.10792
4.88,1.10637
4.92,1.11686
4.96,1.12162
5,1.12582
5.04,1.13039
5.08,1.13494
5.12,1.14382
5.16,1.14973
5.2,1.15519
5.24,1.15467
5.28,1.15869
5.32,1.16471
5.36,1.16664
5.4,1.17792
5.44,1.18424
5.48,1.18536
5.52,1.19395
5.56,1.1974
5.6,1.19591
5.64,1.20663
5.68,1.20801
5.72,1.21322
5.76,1.21238
5.8,1.22015
5.84,1.23124
5.88,1.2328
5.92,1.22784
5.96,1.2382
6,1.24387
6.04,1.24365
6.08,1.24815
6.12,1.25449
6.16,1.2615
6.2,1.26863
6.24,1.26333
6.28,1.26623
6.32,1.27572
6.36,1.28502
6.4,1.28567
6.44,1.28653
6.48,1.29512
6.52,1.30043
6.56,1.30255
6.6,1.30505
6.64,1.31459
6.68,1.31935
6.72,1.32112
6.76,1.31259
6.8,1.32599
6.84,1.33366
6.88,1.33329
6.92,1.3358
6.96,1.34473
7,1.34797
7.04,1.35034
7.08,1.35271
7.12,1.36047
7.16,1.36752
7.2,1.37158
7.24,1.37117
7.28,1.37314
7.32,1.38741
7.36,1.38428
7.4,1.38605
7.44,1.39181
7.48,1.39847
7.52,1.40403
7.56,1.4077
7.6,1.41035
7.64,1.4068
7.68,1.41723
7.72,1.423
7.76,1.42479
7.8,1.43272
7.84,1.43745
7.88,1.44205
7.92,1.44102
7.96,1.44334
8,1.44839
8.04,1.45205
8.08,1.45311
8.12,1.45891
8.16,1.45887
8.2,1.47457
8.24,1.47382
8.28,1.47335
8.32,1.48074
8.36,1.48903
8.4,1.48944
8.44,1.49792
8.48,1.4963
8.52,1.4995
8.56,1.51272
8.6,1.51254
8.64,1.52165
8.68,1.52038
8.72,1.52246
8.76,1.52679
8.8,1.5313
8.84,1.53467
8.88,1.54335
8.92,1.53297
8.96,1.54283
9,1.55197
9.04,1.55848
9.08,1.55467
9.12,1.55711
9.16,1.56776
9.2,1.57952
9.24,1.57284
9.28,1.58014
9.32,1.59179
9.36,1.58784
9.4,1.60144
9.44,1.59638
9.48,1.60111
9.52,1.60268
9.56,1.61434
9.6,0.45986
9.612,0.15159
